keyword,nonhit_mean_tfidf
family,0.013028086161212569
friends,0.011258100914907596
town,0.008850452523281808
home,0.008715825475180579
mysterious,0.008176635835443136
school,0.008175894567724717
love,0.008122825283231678
father,0.007977054681383199
house,0.007751359244692328
soon,0.007643204932413035
night,0.007273796481049689
secret,0.006905924669084595
death,0.006828335714529706
daughter,0.00664500432082132
save,0.006460560954551392
killer,0.006459807774356319
friend,0.006435516048027858
evil,0.006093247409845676
discover,0.006078303617678866
wife,0.0059639901070712344
takes,0.0058049618972012985
mother,0.005780788285809984
discovers,0.00576676540062425
son,0.005673777909759737
fight,0.005609400336128524
city,0.005603103217210862
dark,0.005461118926245089
begins,0.00533284021552132
dead,0.005252972466784914
turns,0.005232475738474639
