keyword,hit_mean_tfidf
family,0.013257112239845522
love,0.011306485616175772
father,0.008772028266093468
war,0.008474059482044294
son,0.00745634296796334
mother,0.007456085185927353
home,0.0072082551645937945
school,0.00702105249929762
friends,0.0063821215329208725
city,0.006381283492144111
journey,0.006359858876831787
film,0.006184245564022576
town,0.005821916566030576
wife,0.005669824330137981
takes,0.005603671323600641
village,0.005523080099658505
friend,0.005498067652793848
death,0.00545891756882674
meets,0.005423150274664529
daughter,0.0053964836346324895
soon,0.005285471741008095
mysterious,0.005216575894210364
living,0.005148186151966237
police,0.0051295023530771545
gets,0.005030306202545478
begins,0.0050297884154209445
save,0.0048944504791390425
live,0.004802808925089471
mission,0.004729369729604737
discovers,0.004723084715467143
