keyword,hit_mean_tfidf
family,0.02339836018592766
love,0.013309323490763419
school,0.013081682215850073
city,0.010894112528734866
police,0.010890486321707296
war,0.010861811624750894
town,0.010691961951250982
crime,0.010305156522553288
murder,0.010290872944894145
york,0.009802846026090311
mysterious,0.00880310873824213
detective,0.008715907704850997
father,0.00848555686992654
death,0.008206465299894107
prison,0.008166217144948005
journey,0.008008704939891137
relationship,0.007965014978817275
mother,0.007838561381277516
working,0.007824473102010095
criminal,0.0077532058272685766
england,0.007566631028293582
history,0.007566430809052347
home,0.007477972928436067
follows,0.007390900789341251
begins,0.0073815297263604
american,0.007365883270411419
power,0.007334529173419099
events,0.007212317479965976
friend,0.007186400828640512
secret,0.007177963074274611
