keyword,nonhit_mean_tfidf
family,0.024897398136631946
love,0.022767950675932926
murder,0.013246169185629337
town,0.012847536100735827
friends,0.012480567162803349
mysterious,0.011694774885221805
death,0.01142720566633464
school,0.011189393578039636
city,0.011172309396936681
daughter,0.010826226349643392
mother,0.010400391895464151
father,0.009737010812923623
secret,0.009569191837413607
telenovela,0.009432138536216512
husband,0.009430490411037482
secrets,0.00920114622308845
wife,0.008740362075831287
journey,0.008661371629711347
mexico,0.008621686442913126
detective,0.00835943869192996
case,0.007886436266459195
police,0.007863109990306386
dangerous,0.007716966305890471
crime,0.007676316120296854
save,0.007634595233885141
truth,0.007533198088163353
takes,0.007399969370165032
star,0.007391040848325015
son,0.007275379208480494
elite,0.007224625333984791
