imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt13980362,Wrong Side of the Tracks,10,24.69674995696988,-4.6780243,12.207502,1,"drug, difficult, kovalev, soccer, gang"
tt12564616,Jiva!,9,22.482810569223595,-3.82116,9.653967,3,"school, students, elite, university, student"
tt14075260,Not My Fault: Mexico,-1,21.422121906744405,-6.0375667,12.165719,-1,
tt14278524,Santo,-1,10.77264486337745,-4.679405,13.139521,-1,
tt15452616,Don't Say No,14,23.30639487730169,-4.930959,8.667446,0,"friends, navigate, friendship, stan, school"
tt13457822,Welcome to Eden,-1,25.400735522178,-1.0909541,10.522272,-1,
tt14792896,Liaison,7,24.562887471180957,-3.2614431,13.248385,6,"spy, 1995, ador, citadel, tensions"
tt14417802,The Snitch Cartel: Origins,10,12.797860142879085,-4.4984436,12.390078,1,"drug, difficult, kovalev, soccer, gang"
tt11895484,Boundless,-1,24.282259821258226,-3.1024718,12.566764,-1,
tt14252964,Gone for Good,-1,21.81059643333676,-6.51207,12.4392185,-1,
tt15046742,Notre-Dame,-1,15.395041073876522,-4.6042123,10.57016,-1,
tt13275654,The Box,-1,10.464712486800524,-5.6634173,13.764454,-1,
tt14414246,La desalmada,2,18.16426506800763,-6.4848914,8.807331,5,"love, father, family, daughter, relationship"
tt11640018,La Brea,-1,19.83515979267117,-0.5525438,10.9063225,-1,
tt15007114,One the Woman,-1,23.802791478724288,-5.992073,12.040567,-1,
tt14954498,Echoes,4,23.20057842682636,-6.4067645,11.174341,1,"medical, artem, surgeon, doctor, siri"
tt10937180,I Know What You Did Last Summer,-1,18.473415736686757,-6.5873585,11.82049,-1,
tt15101964,Everything Will Be Fine,14,20.662068795645165,-4.705058,8.605777,0,"friends, navigate, friendship, stan, school"
tt15068148,The Kingdom,10,21.114051544607623,-5.7782693,13.011151,1,"drug, difficult, kovalev, soccer, gang"
tt15341198,The Perfect Mother,-1,20.37975176438017,-5.7250257,12.671015,-1,
tt14772170,Ridley,0,24.9755453309334,-6.082318,13.742496,1,"detective, murder, case, police, cases"
tt13475676,Tom Swift,6,10.830476241938864,-1.3709624,10.585906,4,"vampire, vampires, young, half, min"
tt8559532,The Changeling,1,22.34584784969578,-1.1340023,9.862641,4,"earth, world, alien, love, human"
tt15303234,Full Circle,0,23.559334179676053,-5.468715,13.086777,1,"detective, murder, case, police, cases"
tt21289712,A Model Family,10,20.590387548933265,-4.637208,12.426979,1,"drug, difficult, kovalev, soccer, gang"
tt13275052,Dive Club,-1,24.093801136089432,-6.916652,11.763223,-1,
tt14321632,All the Queen's Men,-1,20.549074385881013,-4.5569086,9.905519,-1,
tt15437862,SkyMed,-1,18.98689333927588,-4.2117324,11.485892,-1,
tt15432016,Devil in Ohio,4,23.109947545101537,-5.2266808,11.88333,1,"medical, artem, surgeon, doctor, siri"
tt15458236,Voltes V: Legacy,6,19.093748641745897,-1.1963277,10.395921,4,"vampire, vampires, young, half, min"
tt9569528,Queer as Folk,-1,16.038802506154845,-5.5378356,10.456021,-1,
tt15390524,Partner Track,-1,24.37508416371715,-4.97194,10.374064,-1,
tt15393644,New Heights,-1,24.59865773336254,-5.8788614,10.607415,-1,
tt14129418,Ragdoll,0,15.891118013464723,-6.0591674,13.705638,1,"detective, murder, case, police, cases"
tt20217314,2 Good 2 Be True,5,22.896990230419263,-4.1923647,8.63618,0,"eun, friend, self, li, soo"
tt15525658,Lady Voyeur,-1,15.415444473236764,-5.9150047,12.33199,-1,
tt14377480,Kamen Rider Black Sun,1,21.86462660593545,-0.5077983,10.563439,4,"earth, world, alien, love, human"
tt19870894,Monstrous,-1,16.922347610375322,-2.2406926,10.799594,-1,
tt13231962,Elves,-1,15.72016088495674,-1.7805237,10.7979355,-1,
tt20235634,Kiss Sixth Sense,6,20.66347667744252,-1.9538646,9.601996,4,"vampire, vampires, young, half, min"
tt13578144,MalaYerba,10,20.314360063609787,-4.237287,12.036898,1,"drug, difficult, kovalev, soccer, gang"
tt11470588,Blackout: Tomorrow Is Too Late,-1,18.249625004631177,-4.493892,13.4806795,-1,
tt15669534,Tales of the Walking Dead,-1,24.05064110627146,-1.493724,11.730914,-1,
tt22002370,Connect,-1,23.90376253789565,-2.3813875,9.587531,-1,
tt14253638,Express,13,19.31030446299898,-5.2334633,12.701402,1,"convicted, madeline, case, murder, prison"
tt19887704,Bloody Heart,12,21.19428788347889,-3.3691864,11.445306,2,"british, war, russian, king, agent"
tt9174600,Roar,-1,25.435944926163646,-1.8690739,11.962476,-1,
tt15374794,Your Love Is My Fortune,-1,18.084552415372563,-4.960651,8.870082,-1,
tt21049186,Café Minamdang,-1,25.39053773973125,-6.1235785,12.396618,-1,
tt14351748,Fatal Attraction,3,23.109922356571563,-5.095206,10.431517,0,"marriage, love, husband, meets, affair"
tt20426062,The Mysterious Class,-1,9.689895908243898,-6.5819674,11.922998,-1,
tt7950716,Blanca,-1,22.83968279953398,-5.7172885,12.42053,-1,
tt14220870,A Very British Scandal,3,23.50644798858408,-5.1707697,10.135173,0,"marriage, love, husband, meets, affair"
tt12104930,Kitz,-1,24.381664738681877,-5.3471417,12.130186,-1,
tt14655298,Summer Heat,-1,13.497338173638951,-4.3814435,9.680319,-1,
tt17492848,Goodbye Earth,1,9.870445743573912,-0.58461595,11.17178,4,"earth, world, alien, love, human"
tt15140592,Forecasting Love and Weather,5,24.55672383475234,-4.570675,8.808005,0,"eun, friend, self, li, soo"
tt5232622,The Girl Before,4,24.95598590996642,-6.212906,11.280275,1,"medical, artem, surgeon, doctor, siri"
tt14088994,All American: Homecoming,9,21.47897070115163,-4.047792,9.654752,3,"school, students, elite, university, student"
tt27111295,Citadel Honey Bunny,-1,23.17926161770768,-2.7412846,12.944066,-1,
tt14362156,The Envoys,-1,23.63655893952772,-5.5578012,11.73577,-1,
tt15410190,Fishbowl Wives,3,22.315293967702644,-4.7998123,10.166608,0,"marriage, love, husband, meets, affair"
tt30241060,My Man Is Cupid,6,24.38793660904186,-1.6963259,9.468212,4,"vampire, vampires, young, half, min"
tt24082562,Unlock My Boss,5,25.6900609492825,-3.8052924,8.929309,0,"eun, friend, self, li, soo"
tt16021642,Offworld,1,17.088508388122207,-0.8836908,11.333755,4,"earth, world, alien, love, human"
tt20765238,Life on Call,3,18.48497957288173,-4.6061673,10.269286,0,"marriage, love, husband, meets, affair"
tt14494894,Juanpis González - The Series,-1,23.98015507395061,-4.6796007,8.666518,-1,
tt16589104,Señorita 89,8,24.070728865784304,-7.434378,9.705124,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt13956560,"Devotion, a Story of Love and Desire",3,24.806165833639778,-5.081054,9.827894,0,"marriage, love, husband, meets, affair"
tt1967620,The Fear Index,4,15.046594525509745,-4.8283753,11.989822,1,"medical, artem, surgeon, doctor, siri"
tt11343686,Swimming with Sharks,9,20.874620565156704,-4.04309,9.63295,3,"school, students, elite, university, student"
tt15576994,Holy Family,-1,24.24033649451935,-5.7691813,10.640042,-1,
tt15407098,Sister Boniface Mysteries,0,24.95650611746745,-6.3835874,13.338797,1,"detective, murder, case, police, cases"
tt23032868,Shadow Detective,0,25.402662914593595,-6.169328,13.335997,1,"detective, murder, case, police, cases"
tt16450274,Treason,7,21.074026878927203,-3.2896168,13.354385,6,"spy, 1995, ador, citadel, tensions"
tt15548144,The Suspect,4,25.02811220702814,-5.26969,11.41764,1,"medical, artem, surgeon, doctor, siri"
tt15019128,Hold Tight,-1,18.595906380542065,-6.6616693,12.663815,-1,
tt15176890,The Lake,14,23.589240512264677,-4.6507387,8.501403,0,"friends, navigate, friendship, stan, school"
tt26672563,Duty After School,1,18.21756888836373,-0.42922395,10.563919,4,"earth, world, alien, love, human"
tt13068346,Great Expectations,-1,19.75406166043081,-5.8926086,10.139429,-1,
tt18258908,NCIS: Sydney,-1,16.165478806518426,-4.6836886,13.938835,-1,
tt19267756,Pantanal,2,24.181329557075088,-6.637979,9.343721,5,"love, father, family, daughter, relationship"
tt18552362,Parish,11,23.252467373641856,-5.62832,11.452304,1,"secrets, mother, family, lucia, deadly"
tt13317454,Yakamoz S-245,1,24.497129421599137,-0.46257526,10.781322,4,"earth, world, alien, love, human"
tt9845070,Last Light,1,14.596820935924876,-0.63447785,10.794734,4,"earth, world, alien, love, human"
tt18268134,Rebel Cheer Squad: A Get Even Series,4,22.95013755439341,-6.175952,11.166407,1,"medical, artem, surgeon, doctor, siri"
tt22399058,Shards of Her,-1,24.68454516155555,-5.9216223,11.761255,-1,
tt20192096,Welcome to Wedding Hell,3,16.14236809563789,-4.9520397,9.751605,0,"marriage, love, husband, meets, affair"
tt20854190,Doctor Lawyer,4,17.116230639360737,-5.009642,11.555748,1,"medical, artem, surgeon, doctor, siri"
tt19896998,Las Bravas F.C.,10,25.339858976531985,-4.1536517,9.079069,1,"drug, difficult, kovalev, soccer, gang"
tt8323628,My Life with the Walter Boys,-1,25.01547100664282,-5.7304716,10.238393,-1,
tt13745850,The Last Thing He Told Me,-1,23.146030132923237,-6.6165295,11.958431,-1,
tt14531774,Culprits,-1,25.4426313749046,-5.5325537,12.3237505,-1,
tt22189294,Love in Contract,5,16.996476025721684,-3.3376076,8.915336,0,"eun, friend, self, li, soo"
tt14263564,Justified: City Primeval,-1,25.46493219355377,-5.113821,12.835911,-1,
tt18076310,The Rookie: Feds,-1,14.15520034155202,-4.942266,13.709931,-1,
tt7949212,Accused,-1,22.12907175122868,-5.6297812,13.330212,-1,
tt18699118,Alert: Missing Persons Unit,-1,14.601458437356529,-6.685676,12.8635,-1,
tt16098700,Fire Country,-1,23.883311897452376,-4.8567915,12.765177,-1,
tt18413548,Of Money and Blood,-1,22.04609119837824,-4.516442,12.1548395,-1,
tt29225198,Strong Girl Nam-soon,6,18.621297198749687,-1.7852055,9.893908,4,"vampire, vampires, young, half, min"
tt15426714,Wilderness,3,21.539395685736693,-4.801716,10.413997,0,"marriage, love, husband, meets, affair"
tt19503218,Glamorous,5,25.000772270601384,-4.2047167,8.778127,0,"eun, friend, self, li, soo"
tt11231226,Reasonable Doubt,13,25.477532148326556,-5.22793,12.33682,1,"convicted, madeline, case, murder, prison"
tt15422758,The Watchful Eye,11,20.36759601408535,-6.260655,11.580239,1,"secrets, mother, family, lucia, deadly"
tt19866510,The Lions of Sicily,-1,20.54256881267497,-4.4677424,12.247723,-1,
tt17641200,High Heat,7,23.21348604144273,-3.7212903,13.15674,6,"spy, 1995, ador, citadel, tensions"
tt21433150,The Veil,0,24.842650949463103,-5.5571084,13.058406,1,"detective, murder, case, police, cases"
tt16442864,"El Rey, Vicente Fernández",8,22.284155903690134,-7.385365,9.679539,7,"telenovela, mexican, la, televisa, mexican telenovela"
tt17037878,Arcadia,1,24.89783998397971,-0.6268516,10.315602,4,"earth, world, alien, love, human"
tt15428778,Mayfair Witches,6,20.358107418762003,-1.6220914,10.241953,4,"vampire, vampires, young, half, min"
tt16481820,Diary of a Gigolo,3,19.083561500710896,-4.8842506,10.181754,0,"marriage, love, husband, meets, affair"
tt14203572,Monsieur Spade,0,23.149866320228387,-5.9155426,13.61593,1,"detective, murder, case, police, cases"
