imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt0472027,John Adams,-1,-1,0.0123,-0.0223,49.03898788167807
tt1870479,The Newsroom,-1,-1,0.0512,-0.0913,51.094661083546015
tt0374463,The Pacific,5,0,0.0289,-0.0673,47.08403908860664
tt0995832,Generation Kill,5,0,0.0365,-0.0921,49.68074204997392
tt1299368,Southland,3,1,0.0604,-0.0664,47.01276609675305
tt1279972,Treme,8,1,0.0007,0.0232,44.42916937775704
tt1190689,Nurse Jackie,9,3,0.0351,0.0126,43.90044657857929
tt1366312,Emma,0,3,0.0129,-0.0021,42.46479477247534
tt1405406,The Vampire Diaries,11,2,0.0273,-0.0222,53.91642669796914
tt1280822,Drop Dead Diva,0,3,0.0156,-0.0239,41.92347054859263
tt1475582,Sherlock,3,1,0.0634,-0.065,62.74193052079651
tt1442109,Life Unexpected,6,3,0.0405,-0.0416,40.52014679495236
tt1358522,White Collar,3,1,0.0758,-0.0725,53.71262252787103
tt1416765,Parenthood,-1,-1,0.0358,-0.0415,45.77517464910317
tt1255913,Bored to Death,0,3,0.0856,-0.0567,43.60000801488624
tt1548850,Misfits,1,2,0.0741,-0.0276,46.78945331180735
tt1578873,Pretty Little Liars,4,1,0.0408,-0.014,42.51302029722168
tt1593584,Solsidan,0,3,0.0087,-0.0114,41.97548376055651
tt1299365,How to Make It in America,0,3,0.0605,-0.0431,41.30157152217525
tt0826760,The Killing,3,1,0.0298,-0.0712,40.32086395109818
tt1534360,Ezel,-1,-1,0.0116,-0.0373,51.174723668482656
tt1592154,Nikita,2,1,0.1104,-0.0675,46.68725288253013
tt1551632,Rizzoli & Isles,3,1,0.0562,-0.0777,43.338481418987016
tt1492966,Louie,0,3,0.0406,-0.0164,51.77342589757868
tt1582457,The Borgias,10,0,-0.0007,-0.0367,45.7190379428972
tt1453159,The Pillars of the Earth,10,0,0.0787,-0.0384,41.64434885523271
tt1625724,Love/Hate,7,1,0.0718,-0.0727,44.416440624782496
tt1600199,Franklin & Bash,0,3,0.0163,-0.0599,40.69029840263599
tt1493239,Terriers,3,1,0.0571,-0.0616,41.16548935819305
tt1606375,Downton Abbey,-1,-1,0.0528,0.0137,57.48026258528679
tt1685471,This Is England '86,0,3,0.0322,-0.036,46.34838548931052
tt1586680,Shameless,0,3,0.0125,-0.0297,47.72702096722477
tt1637727,The Killing,-1,-1,0.0347,-0.035,47.681464559110736
tt1567432,Teen Wolf,11,2,0.0327,-0.0318,50.77670523640684
tt1848220,Magnificent Century,10,0,-0.0032,-0.0625,41.86318960008587
tt1758772,Switched at Birth,6,3,0.025,-0.036,41.36159963576389
