imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt22188282,El amor invencible,2,5,0.0748,-0.0232,13.367617823056088
tt26862142,The Last Frontier,-1,-1,0.0741,-0.0539,20.57077252108684
tt20477492,Muted,0,1,0.0142,-0.029,18.561878604763557
tt16277846,No Escape,-1,-1,0.0396,-0.0213,19.61363114359078
tt14371926,Apples Never Fall,-1,-1,0.0306,-0.0362,23.569629017390923
tt17042618,Montecristo,-1,-1,0.0473,0.0185,13.313207840691184
tt18831118,Obsession,4,1,0.0346,-0.0323,15.517869926055056
tt26693681,The Impossible Heir,-1,-1,0.081,-0.1079,17.220792237502835
tt27535062,City of God: The Fight Rages On,10,1,0.077,-0.0514,25.0921423834562
tt27369122,The Couple Next Door,11,1,0.0629,-0.0252,17.12968563477219
tt27505298,Desperate Lies,-1,-1,-0.02,-0.0593,17.33451156571476
tt15845610,A Man in Full,-1,-1,0.0503,-0.0248,23.186866285631943
tt24133138,Nightsleeper,-1,-1,0.0553,-0.0332,21.027619776699154
tt27787158,1992,-1,-1,0.0341,-0.0181,20.092784803766424
tt18926116,Fear the Walking Dead: Dead in the Water,-1,-1,0.0208,-0.0093,20.948848471219414
tt27763561,Hierarchy,9,3,0.0576,-0.1019,20.23272124729289
tt26672404,Butterfly,7,6,0.0851,-0.0727,21.776783406571905
tt27787160,The Surrogacy,-1,-1,-0.0002,-0.0642,14.32848105639082
tt27921614,Red Swan,5,0,0.0441,-0.1064,22.13291380950234
tt14494938,Fake Profile,3,0,0.0212,-0.0453,19.231282556529223
tt27843828,Gangs of Galicia,-1,-1,0.0605,-0.0516,23.132574118382774
tt27951663,Fatal Seduction,4,1,0.0198,-0.0683,21.78215653102508
tt28226395,My Magic Closet,6,4,0.0486,0.0297,23.95427881877809
tt15532306,Cruel Intentions,9,3,0.0528,-0.0744,21.61434590627756
tt13355880,Everybody Loves Diamonds,10,1,0.0505,-0.0666,23.127870051060345
tt34476674,Hound's Hill,-1,-1,0.0428,-0.0314,16.89873597446377
tt28298539,Breathless,4,1,0.0315,-0.0648,18.51769000946318
tt32321928,"Betty la Fea, the Story Continues",2,5,0.0137,-0.0553,15.346872778879684
tt28288478,The Cage,7,6,0.0782,-0.1048,22.14887154534348
tt27787857,Thursday's Widows,11,1,0.0293,-0.0554,19.21396509683276
tt36056620,S Line,6,4,0.0144,-0.0366,19.353017766596334
tt27613238,Minas de Pasión,2,5,0.0268,0.0074,8.244682141235227
tt28228082,The Stolen Girl,11,1,0.0522,-0.0033,20.83714093989968
tt26456880,One Trillion Dollars,-1,-1,0.0182,-0.0139,14.003643237180096
tt29195231,Pact of Silence,-1,-1,0.0255,-0.0445,21.869309950433376
tt29103836,Beyond Goodbye,3,0,0.0462,-0.0086,23.59223090659132
tt28019928,Suburræterna,-1,-1,0.0242,-0.0551,16.441801108815852
tt15441086,Brigands: The Quest for Gold,-1,-1,0.0309,0.0027,24.319809162531776
tt27591984,I Woke Up a Vampire,6,4,0.0183,0.061,20.93310152015041
tt29386497,Bank Under Siege,7,6,0.0255,-0.0543,25.63770794384744
tt29303395,The Billis,14,0,0.0646,-0.0305,25.243656685801756
tt29894090,Crazy About You,2,5,0.0315,-0.0657,6.0699485259670825
tt31433814,Doctor Who,1,4,0.069,-0.0125,24.649673056359468
tt30221531,King & Conqueror,-1,-1,0.0549,-0.0745,16.784245415533267
tt27997713,Baby Bandito,10,1,0.0707,-0.022,10.156960938838823
tt28088031,Ransom Canyon,-1,-1,0.0219,-0.0669,25.158579760843708
tt13332622,Before,4,1,0.0329,0.0012,20.895840249679345
tt30494784,The Gardener,13,1,-0.0082,0.0008,22.552801434733997
tt22475008,Watson,4,1,-0.0004,-0.0258,17.58419833928669
tt23806252,Iron Reign,10,1,0.0519,-0.0545,20.503199132815595
tt30317229,La Palma,-1,-1,0.0127,0.0304,21.339973558064813
tt33297589,Valle salvaje,2,5,0.0461,0.0241,14.26068891282214
tt15977292,Happy Face,13,1,0.0446,-0.0196,21.52688347502364
tt28703559,Territory,-1,-1,0.0616,-0.0948,24.74793377686689
tt31019484,Missing You,-1,-1,0.078,-0.0469,20.780196853352244
tt31038430,The Hunting Wives,-1,-1,0.0463,-0.0261,25.13951078398507
tt29764088,El amor no tiene receta,2,5,0.0243,-0.0089,8.33127316381058
tt31123366,LaLola,5,0,-0.0025,-0.0708,20.34769061257189
tt31173096,Billionaires' Bunker,1,4,0.0656,-0.0794,22.62578096776124
tt31186958,Prime Target,7,6,0.0953,-0.1045,21.875160696351543
tt31260386,Beauty in Black,3,0,0.0619,-0.0287,21.51595048964553
tt20601772,El Conde: Amor y Honor,-1,-1,0.0367,-0.0295,22.1990198522749
tt31407116,PULSE,4,1,0.0408,0.0295,20.925777526066614
tt27031263,Teacup,-1,-1,0.0408,-0.0702,24.03468112577598
tt31458276,Grotesquerie,-1,-1,0.0459,-0.0297,21.61117259064933
tt21906554,The Hunting Party,13,1,0.0767,-0.1095,25.552952110459024
tt28131856,Everyone Loves Me,5,0,0.0667,-0.0815,22.489963417137467
tt31806048,Hostage,12,2,0.0102,-0.09,22.20020033564967
tt32306399,From Tomorrow,-1,-1,0.0247,-0.0488,24.81000735650761
tt31849826,Doctor Odyssey,4,1,0.0244,-0.0149,20.912937011828085
tt29494109,Caught,13,1,0.0592,-0.0305,23.424223265455808
tt31158587,Master of the House,-1,-1,0.0382,-0.0808,19.093337931353865
tt33509073,A Virtuous Business,5,0,-0.0038,-0.0501,24.00191944268217
tt32536952,Like a Dragon: Yakuza,7,6,0.0795,-0.0678,14.548160992580303
tt27427326,Wayward,-1,-1,0.0667,-0.0954,23.36440549613924
tt32740307,Chastity High,9,3,0.05,-0.0674,19.356105049627217
tt32889672,Romance in the House,-1,-1,-0.0239,-0.0323,18.381728437088935
tt32874331,In the Mud,13,1,0.0765,-0.0821,18.163927760355296
tt30291387,All's Fair,-1,-1,0.0651,-0.0908,11.789026182097274
tt30068042,The Accident,-1,-1,-0.0015,-0.0068,16.940272141172247
tt29485142,Suits LA,13,1,0.0605,-0.0747,21.13033381543092
tt33246591,The Assassin,11,1,0.0625,-0.0046,16.656336524870266
tt27031470,Deceitful Love,3,0,-0.0004,-0.0663,22.043381065971364
tt28329925,Every Minute Counts,8,7,0.0666,0.0374,20.30471775121986
tt33398245,Buried Hearts,5,0,0.0742,-0.1031,22.482921740459712
tt33484460,Robin Hood,-1,-1,0.0332,-0.0394,24.21627579693829
tt32300326,Sed de Venganza,2,5,0.0441,-0.0062,9.10340947482478
tt31226362,Sisters' Feud,-1,-1,0.0358,-0.025,15.320320156888483
tt34381307,Until You Burn,-1,-1,0.037,-0.0506,19.799300231220485
tt32872848,Las Hijas de la Señora García,2,5,0.0008,-0.024,10.10763791160135
tt29632046,Subteran,11,1,0.0451,-0.0538,23.702056071697925
tt30096238,Public Disorder,7,6,0.0815,-0.0892,24.63584532376836
tt35048672,Seven Doors,-1,-1,0.0316,-0.0586,9.812711822179129
tt11897206,"Cóyotl, Hero and Beast",6,4,0.0698,-0.0202,21.208722801952163
tt35256070,The Hooligan,10,1,0.0891,-0.0741,24.931585200818123
tt32146392,Two Graves,-1,-1,0.0085,-0.0423,23.551957199966985
tt30876484,Just One Look,11,1,0.0096,-0.0388,15.294148000208702
tt35836959,Medusa,-1,-1,0.0049,-0.0597,12.565208585396542
tt37504309,Unspeakable Sins,3,0,0.033,-0.0721,18.189647947357283
tt28243363,Sara - Woman in the Shadows,0,1,0.0426,-0.0482,22.33568220859369
tt37065878,The Guest,-1,-1,0.0234,-0.0936,9.410838081763664
